Indicator,Value,Data,Year,Month,Source,Reference,Gender (All/Male/Female),Geography (All/Urban/Rural),Disability (All/With/Without),Wealth Quintile (All/Poorest/Second/Middle/Fourth/Richest),Educational attainment of household head,Province,District,"Age Range (i.e. 0-24 M, 15-60 Y)",SDG Goal,SDG Target,SDG National Indicator,CPAP 2016-2020 Outcome,CPAP 2016-2020 Output,Relevant SMQ No.,Keyword Tag 1,Keyword Tag 2,Keyword Tag 3,Keyword Tag 4,Keyword Tag 5,Prefered,To correct
Percentage of women aged 20-24 who were married or in a union before age 15,1,Percent ,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,0.9,Percent ,2015,,SUSENAS,,All,All,All,Q2,All,All Indonesia,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,0.6,Percent ,2015,,SUSENAS,,All,All,All,Q3,All,All Indonesia,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,0.4,Percent ,2015,,SUSENAS,,All,All,All,Q4,All,All Indonesia,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,0.3,Percent ,2015,,SUSENAS,,All,All,All,Q5 (wealthiest),All,All Indonesia,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,1.2,Percent ,2015,,SUSENAS,,All,All,All,All,No school,All Indonesia,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,1,Percent ,2015,,SUSENAS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,0.7,Percent ,2015,,SUSENAS,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,0.5,Percent ,2015,,SUSENAS,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,0.4,Percent ,2015,,SUSENAS,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,0.1,Percent ,2015,,SUSENAS,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,0.3,Percent ,2015,,SUSENAS,,All,All,All,All,All,Aceh,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,0.1,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sumatera Utara,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,0.3,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sumatera Barat,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,0.1,Percent ,2015,,SUSENAS,,All,All,All,All,All,Riau,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,1.3,Percent ,2015,,SUSENAS,,All,All,All,All,All,Jambi,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,0.8,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sumatera Selatan,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,0.7,Percent ,2015,,SUSENAS,,All,All,All,All,All,Bengkulu,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,1.1,Percent ,2015,,SUSENAS,,All,All,All,All,All,Lampung,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,1.1,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Bangka Belitung,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,0.6,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,0.2,Percent ,2015,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,0.6,Percent ,2015,,SUSENAS,,All,All,All,All,All,Jawa Barat,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,0.1,Percent ,2015,,SUSENAS,,All,All,All,All,All,Jawa Tengah,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,0,Percent ,2015,,SUSENAS,,All,All,All,All,All,DI Yogyakarta,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,0.8,Percent ,2015,,SUSENAS,,All,All,All,All,All,Jawa Timur,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,0.2,Percent ,2015,,SUSENAS,,All,All,All,All,All,Banten,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,0.3,Percent ,2015,,SUSENAS,,All,All,All,All,All,Bali,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,0.4,Percent ,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Barat,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,0.7,Percent ,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Timur,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,1,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Barat,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,1.9,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Tengah,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,1.9,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Selatan,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,0.8,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,1.2,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,1.2,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Utara,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,2.1,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tengah,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,0.9,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Selatan,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,1.3,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tenggara,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,1.3,Percent ,2015,,SUSENAS,,All,All,All,All,All,Gorontalo,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,2.3,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Barat,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,0.7,Percent ,2015,,SUSENAS,,All,All,All,All,All,Maluku,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,0.8,Percent ,2015,,SUSENAS,,All,All,All,All,All,Maluku Utara,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,0.8,Percent ,2015,,SUSENAS,,All,All,All,All,All,Papua Barat,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 15,0.7,Percent ,2015,,SUSENAS,,All,All,All,All,All,Papua,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,12.1,Percent ,2015,,SUSENAS,,All,All,All,All,All,All Indonesia,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,7.1,Percent ,2015,,SUSENAS,,All,Urban,All,All,All,All Indonesia,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,18.3,Percent ,2015,,SUSENAS,,All,Rural,All,All,All,All Indonesia,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,18.8,Percent ,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,17,Percent ,2015,,SUSENAS,,All,All,All,Q2,All,All Indonesia,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,14.2,Percent ,2015,,SUSENAS,,All,All,All,Q3,All,All Indonesia,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,9.9,Percent ,2015,,SUSENAS,,All,All,All,Q4,All,All Indonesia,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,4.2,Percent ,2015,,SUSENAS,,All,All,All,Q5 (wealthiest),All,All Indonesia,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,13.2,Percent ,2015,,SUSENAS,,All,All,All,All,No school,All Indonesia,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,14.7,Percent ,2015,,SUSENAS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,16.4,Percent ,2015,,SUSENAS,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,15.1,Percent ,2015,,SUSENAS,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,6.8,Percent ,2015,,SUSENAS,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,2.3,Percent ,2015,,SUSENAS,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,4.2,Percent ,2015,,SUSENAS,,All,All,All,All,All,Aceh,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,6.2,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sumatera Utara,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,5.5,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sumatera Barat,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,9.4,Percent ,2015,,SUSENAS,,All,All,All,All,All,Riau,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,15,Percent ,2015,,SUSENAS,,All,All,All,All,All,Jambi,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,13.9,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sumatera Selatan,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,12.8,Percent ,2015,,SUSENAS,,All,All,All,All,All,Bengkulu,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,11.5,Percent ,2015,,SUSENAS,,All,All,All,All,All,Lampung,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,15.6,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Bangka Belitung,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,4.1,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,4.9,Percent ,2015,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,14.1,Percent ,2015,,SUSENAS,,All,All,All,All,All,Jawa Barat,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,11.5,Percent ,2015,,SUSENAS,,All,All,All,All,All,Jawa Tengah,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,4.7,Percent ,2015,,SUSENAS,,All,All,All,All,All,DI Yogyakarta,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,14.7,Percent ,2015,,SUSENAS,,All,All,All,All,All,Jawa Timur,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,8.8,Percent ,2015,,SUSENAS,,All,All,All,All,All,Banten,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,8.5,Percent ,2015,,SUSENAS,,All,All,All,All,All,Bali,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,14.7,Percent ,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Barat,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,9.3,Percent ,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Timur,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,17.3,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Barat,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,21.9,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Tengah,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,23.2,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Selatan,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,14.8,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,14.9,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,16.3,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Utara,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,19.3,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tengah,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,13.8,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Selatan,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,16.9,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tenggara,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,15.9,Percent ,2015,,SUSENAS,,All,All,All,All,All,Gorontalo,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,21.4,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Barat,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,9.9,Percent ,2015,,SUSENAS,,All,All,All,All,All,Maluku,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,10,Percent ,2015,,SUSENAS,,All,All,All,All,All,Maluku Utara,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,14.7,Percent ,2015,,SUSENAS,,All,All,All,All,All,Papua Barat,,20-24 yrs,5,,,,,,,,,,,,
Percentage of women aged 20-24 who were married or in a union before age 18,14.2,Percent ,2015,,SUSENAS,,All,All,All,All,All,Papua,,20-24 yrs,5,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,86.9,Percent ,2015,,SUSENAS,,All,All,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,91,Percent ,2015,,SUSENAS,,All,Urban,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,83.2,Percent ,2015,,SUSENAS,,All,Rural,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,78,Percent ,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,84.4,Percent ,2015,,SUSENAS,,All,All,All,Q2,All,All Indonesia,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,88.4,Percent ,2015,,SUSENAS,,All,All,All,Q3,All,All Indonesia,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,91.6,Percent ,2015,,SUSENAS,,All,All,All,Q4,All,All Indonesia,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,95.2,Percent ,2015,,SUSENAS,,All,All,All,Q5 (wealthiest),All,All Indonesia,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,66.7,Percent ,2015,,SUSENAS,,All,All,All,All,No school,All Indonesia,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,76.3,Percent ,2015,,SUSENAS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,84.4,Percent ,2015,,SUSENAS,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,91.8,Percent ,2015,,SUSENAS,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,95.5,Percent ,2015,,SUSENAS,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,97,Percent ,2015,,SUSENAS,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,94.5,Percent ,2015,,SUSENAS,,All,All,All,All,All,Aceh,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,90,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sumatera Utara,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,85.9,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sumatera Barat,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,86.7,Percent ,2015,,SUSENAS,,All,All,All,All,All,Riau,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,89.3,Percent ,2015,,SUSENAS,,All,All,All,All,All,Jambi,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,86.6,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sumatera Selatan,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,89.7,Percent ,2015,,SUSENAS,,All,All,All,All,All,Bengkulu,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,88.5,Percent ,2015,,SUSENAS,,All,All,All,All,All,Lampung,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,84.9,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Bangka Belitung,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,95.8,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,92.1,Percent ,2015,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,85.4,Percent ,2015,,SUSENAS,,All,All,All,All,All,Jawa Barat,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,88.5,Percent ,2015,,SUSENAS,,All,All,All,All,All,Jawa Tengah,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,94.7,Percent ,2015,,SUSENAS,,All,All,All,All,All,DI Yogyakarta,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,87.4,Percent ,2015,,SUSENAS,,All,All,All,All,All,Jawa Timur,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,87,Percent ,2015,,SUSENAS,,All,All,All,All,All,Banten,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,93.9,Percent ,2015,,SUSENAS,,All,All,All,All,All,Bali,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,91,Percent ,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Barat,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,75.3,Percent ,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Timur,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,78.9,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Barat,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,86.6,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Tengah,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,82.7,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Selatan,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,93.3,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,87,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,91.4,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Utara,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,82.4,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tengah,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,85.7,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Selatan,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,87.1,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tenggara,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,82.8,Percent ,2015,,SUSENAS,,All,All,All,All,All,Gorontalo,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,83,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Barat,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,88.8,Percent ,2015,,SUSENAS,,All,All,All,All,All,Maluku,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,90.8,Percent ,2015,,SUSENAS,,All,All,All,All,All,Maluku Utara,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,81,Percent ,2015,,SUSENAS,,All,All,All,All,All,Papua Barat,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,61.4,Percent ,2015,,SUSENAS,,All,All,All,All,All,Papua,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,89.1,Percent ,2015,,SUSENAS,,Female,All,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Junior secondary adjusted net attendance rate,84.9,Percent ,2015,,SUSENAS,,Male,All,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Junior secondary completion rate,75.6,Percent ,2015,,SUSENAS,,All,All,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Junior secondary completion rate,84,Percent ,2015,,SUSENAS,,All,Urban,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Junior secondary completion rate,65.4,Percent ,2015,,SUSENAS,,All,Rural,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Junior secondary completion rate,58.4,Percent ,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,,4,,,,,,,,,,,,
Junior secondary completion rate,67.3,Percent ,2015,,SUSENAS,,All,All,All,Q2,All,All Indonesia,,,4,,,,,,,,,,,,
Junior secondary completion rate,73.3,Percent ,2015,,SUSENAS,,All,All,All,Q3,All,All Indonesia,,,4,,,,,,,,,,,,
Junior secondary completion rate,81.8,Percent ,2015,,SUSENAS,,All,All,All,Q4,All,All Indonesia,,,4,,,,,,,,,,,,
Junior secondary completion rate,91.5,Percent ,2015,,SUSENAS,,All,All,All,Q5 (wealthiest),All,All Indonesia,,,4,,,,,,,,,,,,
Junior secondary completion rate,47.6,Percent ,2015,,SUSENAS,,All,All,All,All,No school,All Indonesia,,,4,,,,,,,,,,,,
Junior secondary completion rate,58.6,Percent ,2015,,SUSENAS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,,4,,,,,,,,,,,,
Junior secondary completion rate,68.3,Percent ,2015,,SUSENAS,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,,4,,,,,,,,,,,,
Junior secondary completion rate,82.7,Percent ,2015,,SUSENAS,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,,4,,,,,,,,,,,,
Junior secondary completion rate,93.6,Percent ,2015,,SUSENAS,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,,4,,,,,,,,,,,,
Junior secondary completion rate,94.3,Percent ,2015,,SUSENAS,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,,4,,,,,,,,,,,,
Junior secondary completion rate,89.6,Percent ,2015,,SUSENAS,,All,All,All,All,All,Aceh,,,4,,,,,,,,,,,,
Junior secondary completion rate,81.9,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sumatera Utara,,,4,,,,,,,,,,,,
Junior secondary completion rate,80.8,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sumatera Barat,,,4,,,,,,,,,,,,
Junior secondary completion rate,75.9,Percent ,2015,,SUSENAS,,All,All,All,All,All,Riau,,,4,,,,,,,,,,,,
Junior secondary completion rate,77.1,Percent ,2015,,SUSENAS,,All,All,All,All,All,Jambi,,,4,,,,,,,,,,,,
Junior secondary completion rate,76.1,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sumatera Selatan,,,4,,,,,,,,,,,,
Junior secondary completion rate,75.6,Percent ,2015,,SUSENAS,,All,All,All,All,All,Bengkulu,,,4,,,,,,,,,,,,
Junior secondary completion rate,62.4,Percent ,2015,,SUSENAS,,All,All,All,All,All,Lampung,,,4,,,,,,,,,,,,
Junior secondary completion rate,65,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Bangka Belitung,,,4,,,,,,,,,,,,
Junior secondary completion rate,87.4,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,,4,,,,,,,,,,,,
Junior secondary completion rate,87.2,Percent ,2015,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,,4,,,,,,,,,,,,
