Indicator,Value,Year,Month,Source,Reference,Gender (All/Male/Female),Geography (All/Urban/Rural),Disability (All/With/Without),Wealth Quintile (All/Poorest/Second/Middle/Fourth/Richest),Educational Attainment of Household Head,Province,District,"Age Range (i.e. 0-24 M, 15-60 Y)",SDG Goal,SDG Target,SDG National Indicator,CPAP 2016-2020 Outcome,CPAP 2016-2020 Output,Relevant SMQ No.,Keyword Tag 1,Keyword Tag 2,Keyword Tag 3,Keyword Tag 4,Keyword Tag 5,Prefered,To correct
Proportion of children living below the national poverty line,18.2,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tengah,,< 18 yrs,1,,,,,,,,,,,,
Proportion of population living below international poverty line of US$1.9 (PPP) per day,18.2,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tenggara,,All,1,,,,,,,,,,,,
Prevalence of low birth weight,18.2,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Barat,,15-49 yrs,2,,,,,,,,,,,,
Percentage of population practicing open defecation,18.2,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tenggara,,,6,,,,,,,,,,,,
Proportion of children under 5 years of age with a birth certificate ( not seen),18.2,2015,,SUSENAS,,All,Urban,All,All,All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Proportion of population living below the national poverty line,18.3,2015,,SUSENAS,,All,All,All,All,All,Gorontalo,,All,1,,,,,,,,,,,,
Prevalence of severe stunting in children under 5 years of age,18.3,2013,,RISKESDAS,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,0-59 months,2,,,,,,,,,,,,
Prevalence of severe stunting in children under 5 years of age,18.3,2013,,RISKESDAS,,All,All,All,All,All,Maluku Utara,,0-59 months,2,,,,,,,,,,,,
Proportion of women aged 20-24 who were married or in a union before age 18,18.3,2015,,SUSENAS,,Female,Rural,All,All,All,All Indonesia,,20-24 yrs,5,,,,,,,,,,,,
Proportion of population living below international poverty line of US$3.1 (PPP) per day,18.4,2015,,SUSENAS,,All,All,All,All,All,Sumatera Barat,,All,1,,,,,,,,,,,,
Prevalence of low birth weight,18.4,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Selatan,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of severe stunting in children under 5 years of age,18.4,2013,,RISKESDAS,,All,All,All,All,All,Sumatera Barat,,0-59 months,2,,,,,,,,,,,,
Prevalence of severe stunting in children under 5 years of age,18.4,2013,,RISKESDAS,,All,All,All,All,All,Kalimantan Tengah,,0-59 months,2,,,,,,,,,,,,
Percentage of children aged 36-59 months who attend an organized early learning/care and education programme,18.5,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Timur,,36-59 months,4,,,,,,,,,,,,
Percentage of children in Grade 4 of primary education achieving at least a minimum proficiency in mathematics,18.5,2016,,INAP,,All,All,All,All,All,Kalimantan Timur,,,4,,,,,,,,,,,,
Proportion of children under 5 years of age with a birth certificate ( not seen),18.5,2015,,SUSENAS,,All,All,All,All,All,Sumatera Selatan,,0-59 months,16,,,,,,,,,,,,
Prevalence of moderate & severe wasting in children under 5 years of age,18.7,2013,,RISKESDAS,,All,All,All,All,All,Kalimantan Barat,,0-59 months,2,,,,,,,,,,,,
Percentage of children aged 36-59 months who attend an organized early learning/care and education programme,18.7,2015,,SUSENAS,,All,All,All,All,All,Jawa Barat,,36-59 months,4,,,,,,,,,,,,
Prevalence of severe stunting in children under 5 years of age,18.8,2013,,RISKESDAS,,Male,All,All,All,All,All Indonesia,,0-59 months,2,,,,,,,,,,,,
Health worker density and distribution: Doctors,18.8,2015,,Indonesia Health Profile,,All,All,All,All,All,Jambi,,All,3,,,,,,,,,,,,
Proportion of women aged 20-24 who were married or in a union before age 18,18.8,2015,,SUSENAS,,Female,All,All,Q1 (poorest),All,All Indonesia,,20-24 yrs,5,,,,,,,,,,,,
Proportion of population living below international poverty line of US$3.1 (PPP) per day,18.9,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Tengah,,All,1,,,,,,,,,,,,
Health worker density and distribution: Doctors,18.9,2015,,Indonesia Health Profile,,All,All,All,All,All,Maluku,,All,3,,,,,,,,,,,,
Percentage of children aged 36-59 months who attend an organized early learning/care and education programme,18.9,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,36-59 months,4,,,,,,,,,,,,
Percentage of children in Grade 4 of primary education achieving at least a minimum proficiency in mathematics,18.9,2016,,INAP,,All,All,All,All,All,Nusa Tenggara Barat,,,4,,,,,,,,,,,,
Prevalence of severe stunting in children under 5 years of age,19,2013,,RISKESDAS,,All,All,All,All,All,Jambi,,0-59 months,2,,,,,,,,,,,,
Percentage of children aged 36-59 months who attend an organized early learning/care and education programme,19,2015,,SUSENAS,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,36-59 months,4,,,,,,,,,,,,
Percentage of children aged 36-59 months who attend an organized early learning/care and education programme,19,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,36-59 months,4,,,,,,,,,,,,
"Number of missing persons attributed to disasters, annual average for 2005-2015",19,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jawa Timur,,,13,,,,,,,,,,,,
"Number of missing persons attributed to disasters, annual average for 2005-2015",19,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Nusa Tenggara Timur,,,13,,,,,,,,,,,,
Number of education facilities affected by disaster,19,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jambi,,,13,,,,,,,,,,,,
Proportion of population living below international poverty line of US$3.1 (PPP) per day,19.1,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Selatan,,All,1,,,,,,,,,,,,
Percentage of children aged 36-59 months who attend an organized early learning/care and education programme,19.2,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,36-59 months,4,,,,,,,,,,,,
Percentage of children in Grade 4 of primary education achieving at least a minimum proficiency in mathematics,19.2,2016,,INAP,,All,All,All,All,All,Kalimantan Selatan,,,4,,,,,,,,,,,,
Proportion of unsentenced detainees  below the age of 18 as a proportion of overall prison population,19.2,2017,,Ministry of Law and Human Rights,,All,All,All,All,All,Jawa Timur,,<18 yrs,16,,,,,,,,,,,,
Proportion of adults living below the national poverty line,19.3,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Timur,,18+ yrs,1,,,,,,,,,,,,
Percentage of children aged 36-59 months who attend an organized early learning/care and education programme,19.3,2015,,SUSENAS,,All,All,All,All,All,Banten,,36-59 months,4,,,,,,,,,,,,
Proportion of women aged 20-24 who were married or in a union before age 18,19.3,2015,,SUSENAS,,Female,All,All,All,All,Sulawesi Tengah,,20-24 yrs,5,,,,,,,,,,,,
Proportion of children under 5 years of age with a birth certificate ( not seen),19.3,2015,,SUSENAS,,All,All,All,Q5 (wealthiest),All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Proportion of children under 5 years of age with a birth certificate ( not seen),19.3,2015,,SUSENAS,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,0-59 months,16,,,,,,,,,,,,
Proportion of adults living below international poverty line of US$3.1 (PPP) per day,19.4,2015,,SUSENAS,,All,All,All,All,All,Banten,,18+ yrs,1,,,,,,,,,,,,
Percentage of population practicing open defecation,19.4,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Barat,,,6,,,,,,,,,,,,
Proportion of unsentenced detainees  below the age of 18 as a proportion of overall prison population,19.4,2017,,Ministry of Law and Human Rights,,All,All,All,All,All,Sumatera Selatan,,<18 yrs,16,,,,,,,,,,,,
Proportion of population living below the national poverty line,19.5,2015,,SUSENAS,,All,All,All,All,All,Maluku,,All,1,,,,,,,,,,,,
Proportion of adults living below international poverty line of US$3.1 (PPP) per day,19.5,2015,,SUSENAS,,All,All,All,All,All,Maluku Utara,,18+ yrs,1,,,,,,,,,,,,
Proportion of children living below international poverty line of US$1.9 (PPP) per day,19.5,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Selatan,,< 18 yrs,1,,,,,,,,,,,,
Health worker density and distribution: Doctors,19.5,2015,,Indonesia Health Profile,,All,All,All,All,All,Sumatera Barat,,All,3,,,,,,,,,,,,
Percentage of children in Grade 4 of primary education achieving at least a minimum proficiency in mathematics,19.5,2016,,INAP,,All,All,All,All,All,Lampung,,,4,,,,,,,,,,,,
Percentage of population practicing open defecation,19.5,2015,,SUSENAS,,All,Rural,All,All,All,All Indonesia,,,6,,,,,,,,,,,,
Proportion of unsentenced detainees as a proportion of overall prison population,19.5,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Papua,,,16,,,,,,,,,,,,
Proportion of adults living below international poverty line of US$1.9 (PPP) per day,19.6,2015,,SUSENAS,,All,All,All,All,All,Gorontalo,,18+ yrs,1,,,,,,,,,,,,
Prevalence of low birth weight,19.6,2015,,SUSENAS,,All,All,All,All,All,Gorontalo,,15-49 yrs,2,,,,,,,,,,,,
Percentage of children aged 36-59 months who attend an organized early learning/care and education programme,19.6,2015,,SUSENAS,,All,All,All,All,No school,All Indonesia,,36-59 months,4,,,,,,,,,,,,
Proportion of population living below international poverty line of US$3.1 (PPP) per day,19.7,2015,,SUSENAS,,All,All,All,All,All,Bali,,All,1,,,,,,,,,,,,
Percentage of children in Grade 4 of primary education achieving at least a minimum proficiency in mathematics,19.7,2016,,INAP,,All,All,All,All,All,Sumatera Selatan,,,4,,,,,,,,,,,,
Prevalence of low birth weight,19.8,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Barat,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,19.8,2015,,SUSENAS,,All,All,All,All,All,Maluku Utara,,15-49 yrs,2,,,,,,,,,,,,
Percentage of children aged 36-59 months who attend an organized early learning/care and education programme,19.8,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Tengah,,36-59 months,4,,,,,,,,,,,,
Percentage of schools with sex-separated sanitation facilities,19.8,2016,,School Statistics by the Ministry of Education and Culture from all forms of schols,,All,All,All,All,All,Maluku Utara,,,6,,,,,,,,,,,,
Prevalence of severe stunting in children under 5 years of age,19.9,2013,,RISKESDAS,,All,All,All,All,All,Sumatera Selatan,,0-59 months,2,,,,,,,,,,,,
Prevalence of severe stunting in children under 5 years of age,20,2013,,RISKESDAS,,All,All,All,All,All,Riau,,0-59 months,2,,,,,,,,,,,,
Neonatal mortality rate,20,2012,,IDHS,,All,All,All,All,All,All Indonesia,,,3,,,,,,,,,,,,
Neonatal mortality rate,20,2012,,IDHS,,All,All,All,All,All,Sumatera Selatan,,,3,,,,,,,,,,,,
Neonatal mortality rate,20,2012,,IDHS,,All,All,All,All,All,Lampung,,,3,,,,,,,,,,,,
Neonatal mortality rate,20,2012,,IDHS,,All,All,All,All,All,Kepulauan Bangka Belitung,,,3,,,,,,,,,,,,
"Adolescent birth rate per 1,000 women",20,2012,,IDHS,,Female,All,All,All,All,DKI Jakarta,,15-19 yrs,3,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",20,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Banten,,,13,,,,,,,,,,,,
Prevalence of severe stunting in children under 5 years of age,20.1,2013,,RISKESDAS,,All,All,All,All,All,Aceh,,0-59 months,2,,,,,,,,,,,,
Health worker density and distribution: Doctors,20.1,2015,,Indonesia Health Profile,,All,All,All,All,All,Bengkulu,,All,3,,,,,,,,,,,,
Share of villages/wards implementing Community Based Total Sanitation (STBM).,20.1,2015,,Indonesia Health Profile,,All,All,All,All,All,Kalimantan Barat,,,6,,,,,,,,,,,,
Prevalence of severe stunting in children under 5 years of age,20.2,2013,,RISKESDAS,,All,All,All,Q2,All,All Indonesia,,0-59 months,2,,,,,,,,,,,,
Percentage of children aged 36-59 months who attend an organized early learning/care and education programme,20.2,2015,,SUSENAS,,All,All,All,All,All,Maluku Utara,,36-59 months,4,,,,,,,,,,,,
Proportion of children living below international poverty line of US$3.1 (PPP) per day,20.3,2015,,SUSENAS,,All,All,All,All,All,Riau,,< 18 yrs,1,,,,,,,,,,,,
Prevalence of low birth weight,20.3,2015,,SUSENAS,,All,All,All,All,All,Papua Barat,,15-49 yrs,2,,,,,,,,,,,,
Percentage of population using improved sanitation facilities,20.3,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Timur,,,6,,,,,,,,,,,,
Proportion of children living below international poverty line of US$1.9 (PPP) per day,20.4,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Barat,,< 18 yrs,1,,,,,,,,,,,,
Prevalence of severe stunting in children under 5 years of age,20.4,2013,,RISKESDAS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,0-59 months,2,,,,,,,,,,,,
Prevalence of severe stunting in children under 5 years of age,20.4,2013,,RISKESDAS,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,0-59 months,2,,,,,,,,,,,,
Prevalence of severe stunting in children under 5 years of age,20.4,2013,,RISKESDAS,,All,All,All,All,All,Kalimantan Selatan,,0-59 months,2,,,,,,,,,,,,
Prevalence of severe stunting in children under 5 years of age,20.4,2013,,RISKESDAS,,All,All,All,All,All,Maluku,,0-59 months,2,,,,,,,,,,,,
Proportion of children living below the national poverty line,20.5,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Barat,,< 18 yrs,1,,,,,,,,,,,,
Prevalence of severe stunting in children under 5 years of age,20.5,2013,,RISKESDAS,,All,All,All,All,All,Nusa Tenggara Barat,,0-59 months,2,,,,,,,,,,,,
Percentage of children aged 36-59 months who attend an organized early learning/care and education programme,20.5,2015,,SUSENAS,,All,Rural,All,All,All,All Indonesia,,36-59 months,4,,,,,,,,,,,,
Health worker density and distribution: Doctors,20.6,2015,,Indonesia Health Profile,,All,All,All,All,All,Kalimantan Tengah,,All,3,,,,,,,,,,,,
Percentage of children aged 36-59 months who attend an organized early learning/care and education programme,20.6,2015,,SUSENAS,,Male,All,All,All,All,All Indonesia,,36-59 months,4,,,,,,,,,,,,
Percentage of children aged 36-59 months who attend an organized early learning/care and education programme,20.6,2015,,SUSENAS,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,36-59 months,4,,,,,,,,,,,,
Percentage of children aged 36-59 months who attend an organized early learning/care and education programme,20.6,2015,,SUSENAS,,All,All,All,All,All,Maluku,,36-59 months,4,,,,,,,,,,,,
Health worker density and distribution: Doctors,20.7,2015,,Indonesia Health Profile,,All,All,All,All,All,Maluku Utara,,All,3,,,,,,,,,,,,
Percentage of population practicing open defecation,20.7,2015,,SUSENAS,,All,All,All,All,All,Maluku,,,6,,,,,,,,,,,,
Health worker density and distribution: Midwives,20.8,2015,,Indonesia Health Profile,,All,All,All,All,All,Jawa Barat,,All,3,,,,,,,,,,,,
Percentage of children aged 36-59 months who attend an organized early learning/care and education programme,20.8,2015,,SUSENAS,,All,All,All,Q3,All,All Indonesia,,36-59 months,4,,,,,,,,,,,,
Percentage of children attending first grade of primary school who attended preschool in previous year,20.8,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Barat,,,4,,,,,,,,,,,,
Percentage of children in Grade 4 of primary education achieving at least a minimum proficiency in mathematics,20.8,2016,,INAP,,All,All,All,All,All,Banten,,,4,,,,,,,,,,,,
Proportion of children living below the national poverty line,20.9,2015,,SUSENAS,,All,All,All,All,All,Aceh,,< 18 yrs,1,,,,,,,,,,,,
Prevalence of severe stunting in children under 5 years of age,20.9,2013,,RISKESDAS,,All,Rural,All,All,All,All Indonesia,,0-59 months,2,,,,,,,,,,,,
Percentage of children in Grade 4 of primary education achieving at least a minimum proficiency in reading,20.9,2016,,INAP,,All,All,All,All,All,Sulawesi Barat,,,4,,,,,,,,,,,,
Proportion of children living below the national poverty line,21,2015,,SUSENAS,,All,All,All,All,All,Bengkulu,,< 18 yrs,1,,,,,,,,,,,,
Neonatal mortality rate,21,2012,,IDHS,,All,All,All,Q2,All,All Indonesia,,,3,,,,,,,,,,,,
Neonatal mortality rate,21,2012,,IDHS,,All,All,All,All,All,Bengkulu,,,3,,,,,,,,,,,,
Neonatal mortality rate,21,2012,,IDHS,,All,All,All,All,All,Kepulauan Riau,,,3,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",21,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Maluku,,,13,,,,,,,,,,,,
"Number of missing persons attributed to disasters, annual average for 2005-2015",21,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Barat,,,13,,,,,,,,,,,,
Number of education facilities affected by disaster,21,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Nusa Tenggara Timur,,,13,,,,,,,,,,,,
Proportion of population living below international poverty line of US$1.9 (PPP) per day,21.1,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Timur,,All,1,,,,,,,,,,,,
Proportion of children living below international poverty line of US$1.9 (PPP) per day,21.1,2015,,SUSENAS,,All,All,All,All,All,Papua,,< 18 yrs,1,,,,,,,,,,,,
Prevalence of severe stunting in children under 5 years of age,21.1,2013,,RISKESDAS,,All,All,All,All,No school,All Indonesia,,0-59 months,2,,,,,,,,,,,,
Prevalence of severe stunting in children under 5 years of age,21.2,2013,,RISKESDAS,,All,All,All,All,All,Sulawesi Tenggara,,0-59 months,2,,,,,,,,,,,,
Health worker density and distribution: Midwives,21.2,2015,,Indonesia Health Profile,,All,All,All,All,All,DKI Jakarta,,All,3,,,,,,,,,,,,
Prevalence of moderate & severe overweight in children under 5 years of age,21.4,2013,,RISKESDAS,,All,All,All,All,All,Lampung,,0-59 months,2,,,,,,,,,,,,
Proportion of women aged 20-24 who were married or in a union before age 18,21.4,2015,,SUSENAS,,Female,All,All,All,All,Sulawesi Barat,,20-24 yrs,5,,,,,,,,,,,,
Percentage of children aged 36-59 months who attend an organized early learning/care and education programme,21.6,2015,,SUSENAS,,All,All,All,All,All,Jambi,,36-59 months,4,,,,,,,,,,,,
Percentage of population practicing open defecation,21.6,2015,,SUSENAS,,All,All,All,All,All,Aceh,,,6,,,,,,,,,,,,
Proportion of children living below international poverty line of US$3.1 (PPP) per day,21.7,2015,,SUSENAS,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Proportion of unsentenced detainees  below the age of 18 as a proportion of overall prison population,21.7,2017,,Ministry of Law and Human Rights,,All,All,All,All,All,All Indonesia,,<18 yrs,16,,,,,,,,,,,,
Percentage of children in Grade 4 of primary education achieving at least a minimum proficiency in mathematics,21.8,2016,,INAP,,All,All,All,All,All,Jawa Tengah,,,4,,,,,,,,,,,,
Proportion of unsentenced detainees  below the age of 18 as a proportion of overall prison population,21.8,2017,,Ministry of Law and Human Rights,,All,All,All,All,All,Lampung,,<18 yrs,16,,,,,,,,,,,,
Proportion of adults living below the national poverty line,21.9,2015,,SUSENAS,,All,All,All,All,No school,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Proportion of population living below international poverty line of US$1.9 (PPP) per day,21.9,2015,,SUSENAS,,All,All,All,All,All,Gorontalo,,All,1,,,,,,,,,,,,
Prevalence of severe stunting in children under 5 years of age,21.9,2013,,RISKESDAS,,All,All,All,All,All,Papua Barat,,0-59 months,2,,,,,,,,,,,,
Proportion of women aged 20-24 who were married or in a union before age 18,21.9,2015,,SUSENAS,,Female,All,All,All,All,Kalimantan Tengah,,20-24 yrs,5,,,,,,,,,,,,
Proportion of population living below international poverty line of US$3.1 (PPP) per day,22,2015,,SUSENAS,,All,All,All,All,All,Banten,,All,1,,,,,,,,,,,,
Proportion of children living below international poverty line of US$3.1 (PPP) per day,22,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Tengah,,< 18 yrs,1,,,,,,,,,,,,
Neonatal mortality rate,22,2012,,IDHS,,All,All,All,All,All,Jawa Tengah,,,3,,,,,,,,,,,,
Health worker density and distribution: Doctors,22,2015,,Indonesia Health Profile,,All,All,All,All,All,Gorontalo,,All,3,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",22,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Timur,,,13,,,,,,,,,,,,
Proportion of children living below the national poverty line,22.1,2015,,SUSENAS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children attending first grade of primary school who attended preschool in previous year,22.1,2015,,SUSENAS,,All,All,All,All,All,Papua,,,4,,,,,,,,,,,,
Percentage of children in Grade 4 of primary education achieving at least a minimum proficiency in mathematics,22.1,2016,,INAP,,All,All,All,All,All,Bengkulu,,,4,,,,,,,,,,,,
Proportion of unsentenced detainees  below the age of 18 as a proportion of overall prison population,22.2,2017,,Ministry of Law and Human Rights,,All,All,All,All,All,Jawa Tengah,,<18 yrs,16,,,,,,,,,,,,
Proportion of children living below the national poverty line,22.3,2015,,SUSENAS,,All,All,All,All,All,Gorontalo,,< 18 yrs,1,,,,,,,,,,,,
Proportion of adults living below international poverty line of US$3.1 (PPP) per day,22.3,2015,,SUSENAS,,All,All,All,All,All,Sumatera Utara,,18+ yrs,1,,,,,,,,,,,,
Proportion of adults living below international poverty line of US$3.1 (PPP) per day,22.3,2015,,SUSENAS,,All,All,All,All,All,Jambi,,18+ yrs,1,,,,,,,,,,,,
Prevalence of severe stunting in children under 5 years of age,22.3,2013,,RISKESDAS,,All,All,All,All,All,Sulawesi Barat,,0-59 months,2,,,,,,,,,,,,
Percentage of children aged 36-59 months who attend an organized early learning/care and education programme,22.3,2015,,SUSENAS,,All,All,All,All,All,All Indonesia,,36-59 months,4,,,,,,,,,,,,
Percentage of population practicing open defecation,22.3,2015,,SUSENAS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,,6,,,,,,,,,,,,
Proportion of adults living below the national poverty line,22.4,2015,,SUSENAS,,All,All,All,All,All,Papua Barat,,18+ yrs,1,,,,,,,,,,,,
Prevalence of anaemia among non-pregnant women over 15 years,22.4,2013,,RISKESDAS,,Female,Urban,All,All,All,All Indonesia,,15+ yrs,2,,,,,,,,,,,,
Proportion of population living below international poverty line of US$3.1 (PPP) per day,22.5,2015,,SUSENAS,,All,All,All,All,All,Maluku Utara,,All,1,,,,,,,,,,,,
Proportion of adults living below international poverty line of US$3.1 (PPP) per day,22.5,2015,,SUSENAS,,All,Urban,All,All,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Prevalence of severe stunting in children under 5 years of age,22.5,2013,,RISKESDAS,,All,All,All,All,All,Bengkulu,,0-59 months,2,,,,,,,,,,,,
Prevalence of severe stunting in children under 5 years of age,22.5,2013,,RISKESDAS,,All,All,All,All,All,Kalimantan Barat,,0-59 months,2,,,,,,,,,,,,
"Percentage of ever-married women 15-49 years who have their need for family planning satisfied with modern methods (female sterilization, male sterilization, pill, IUD, injectables, implants, male condom, female condom)",22.5,2015,,SUSENAS ,,Female,All,All,All,All,Papua,,15-49 yrs,3,,,,,,,,,,,,
Percentage of children in Grade 4 of primary education achieving at least a minimum proficiency in mathematics,22.5,2016,,INAP,,All,All,All,All,All,Jambi,,,4,,,,,,,,,,,,
Percentage of children in Grade 4 of primary education achieving at least a minimum proficiency in mathematics,22.5,2016,,INAP,,All,All,All,All,All,Nusa Tenggara Timur,,,4,,,,,,,,,,,,
Percentage of children in Grade 4 of primary education achieving at least a minimum proficiency in mathematics,22.5,2016,,INAP,,All,All,All,All,All,Kalimantan Barat,,,4,,,,,,,,,,,,
Proportion of population living below the national poverty line,22.6,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Timur,,All,1,,,,,,,,,,,,
Proportion of children living below international poverty line of US$1.9 (PPP) per day,22.6,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tenggara,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below international poverty line of US$3.1 (PPP) per day,22.7,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Selatan,,< 18 yrs,1,,,,,,,,,,,,
Prevalence of severe stunting in children under 5 years of age,22.7,2013,,RISKESDAS,,All,All,All,All,All,Sumatera Utara,,0-59 months,2,,,,,,,,,,,,
Prevalence of anaemia among non-pregnant women over 15 years,22.7,2013,,RISKESDAS,,Female,All,All,All,All,All Indonesia,,15+ yrs,2,,,,,,,,,,,,
Proportion of unsentenced detainees  below the age of 18 as a proportion of overall prison population,22.7,2017,,Ministry of Law and Human Rights,,All,All,All,All,All,Bengkulu,,<18 yrs,16,,,,,,,,,,,,
Percentage of children in Grade 4 of primary education achieving at least a minimum proficiency in mathematics,22.8,2016,,INAP,,All,All,All,All,All,Riau,,,4,,,,,,,,,,,,
Percentage of children in Grade 4 of primary education achieving at least a minimum proficiency in mathematics,22.8,2016,,INAP,,All,All,All,All,All,Sulawesi Tenggara,,,4,,,,,,,,,,,,
Percentage of children aged 36-59 months who attend an organized early learning/care and education programme,22.9,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Barat,,36-59 months,4,,,,,,,,,,,,
Percentage of children in Grade 4 of primary education achieving at least a minimum proficiency in mathematics,22.9,2016,,INAP,,All,All,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Prevalence of anaemia among non-pregnant women over 15 years,23,2013,,RISKESDAS,,Female,Rural,All,All,All,All Indonesia,,15+ yrs,2,,,,,,,,,,,,
Under 5 mortality ratio (within 10 years preceding the survey),23,2012,,IDHS,,All,All,All,Q5 (wealthiest),All,All Indonesia,,,3,,,,,,,,,,,,
Neonatal mortality rate,23,2012,,IDHS,,All,All,All,Q3,All,All Indonesia,,,3,,,,,,,,,,,,
Neonatal mortality rate,23,2012,,IDHS,,All,All,All,All,All,Banten,,,3,,,,,,,,,,,,
Neonatal mortality rate,23,2012,,IDHS,,All,All,All,All,All,Sulawesi Utara,,,3,,,,,,,,,,,,
Prevalence of tobacco smokers (15+ yrs),23,2015,,SUSENAS ,,All,All,All,All,All,Bali,,15+ yrs,3,,,,,,,,,,,,
Proportion of children under 5 years of age with a birth certificate ( not seen),23.1,2015,,SUSENAS,,All,All,All,All,All,Papua Barat,,0-59 months,16,,,,,,,,,,,,
Proportion of women aged 20-24 who were married or in a union before age 18,23.2,2015,,SUSENAS,,Female,All,All,All,All,Kalimantan Selatan,,20-24 yrs,5,,,,,,,,,,,,
Proportion of children living below international poverty line of US$3.1 (PPP) per day,23.3,2015,,SUSENAS,,All,All,All,All,All,Sumatera Barat,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children aged 36-59 months who attend an organized early learning/care and education programme,23.3,2015,,SUSENAS,,All,All,All,All,All,Papua Barat,,36-59 months,4,,,,,,,,,,,,
Share of villages/wards implementing Community Based Total Sanitation (STBM).,23.3,2015,,Indonesia Health Profile,,All,All,All,All,All,Jambi,,,6,,,,,,,,,,,,
Percentage of children in Grade 4 of primary education achieving at least a minimum proficiency in mathematics,23.4,2016,,INAP,,All,All,All,All,All,Aceh,,,4,,,,,,,,,,,,
Proportion of children living below international poverty line of US$1.9 (PPP) per day,23.5,2015,,SUSENAS,,All,All,All,All,No school,All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children in Grade 4 of primary education achieving at least a minimum proficiency in mathematics,23.6,2016,,INAP,,All,All,All,All,All,DKI Jakarta,,,4,,,,,,,,,,,,
Proportion of unsentenced detainees as a proportion of overall prison population,23.7,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Aceh,,,16,,,,,,,,,,,,
Proportion of children under 5 years of age with a birth certificate ( not seen),23.7,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,0-59 months,16,,,,,,,,,,,,
Proportion of adults living below the national poverty line,23.8,2015,,SUSENAS,,All,All,All,All,All,Papua,,18+ yrs,1,,,,,,,,,,,,
