Indicator,Value,Year,Month,Source,Reference,Gender (All/Male/Female),Geography (All/Urban/Rural),Disability (All/With/Without),Wealth Quintile (All/Poorest/Second/Middle/Fourth/Richest),Educational attainment of household head,Province,District,"Age Range (i.e. 0-24 M, 15-60 Y)",SDG Goal,SDG Target,SDG National Indicator,CPAP 2016-2020 Outcome,CPAP 2016-2020 Output,Relevant SMQ No.,Keyword Tag 1,Keyword Tag 2,Keyword Tag 3,Keyword Tag 4,Keyword Tag 5,Prefered,To correct
"Number of persons affected by disasters, annual average for 2005-2015",125186.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,DKI Jakarta,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",386062.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jawa Barat,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",149947.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jawa Tengah,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",114840.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,DI Yogyakarta,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",157558.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jawa Timur,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",66401.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Banten,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",359.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Bali,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",19394.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Nusa Tenggara Barat,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",24025.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Nusa Tenggara Timur,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",15502.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Barat,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",12750.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Tengah,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",836379.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Selatan,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",37161.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Timur,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Utara,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",21288.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Utara,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",12278.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Tengah,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",13458.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Selatan,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",6697.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Tenggara,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",18016.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Gorontalo,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",1145.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Barat,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",3524.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Maluku,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",3162.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Maluku Utara,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",3251.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Papua Barat,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",1738.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Papua,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",986.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,All Indonesia,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",2822.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Aceh,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",357.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sumatera Utara,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",654.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sumatera Barat,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",1173.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Riau,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",347.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jambi,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",372.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sumatera Selatan,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",50.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Bengkulu,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",34.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Lampung,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",29.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kepulauan Bangka Belitung,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",8.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kepulauan Riau,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",1303.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,DKI Jakarta,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",897.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jawa Barat,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",463.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jawa Tengah,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",3321.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,DI Yogyakarta,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",420.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jawa Timur,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",625.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Banten,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",9.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Bali,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",431.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Nusa Tenggara Barat,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",513.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Nusa Tenggara Timur,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",353.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Barat,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",576.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Tengah,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",23062.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Selatan,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",1046.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Timur,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Utara,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",938.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Utara,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",466.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Tengah,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",167.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Selatan,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",300.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Tenggara,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",1732.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Gorontalo,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",99.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Barat,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",230.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Maluku,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",305.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Maluku Utara,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",428.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Papua Barat,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015 (per 100,000 people)",61.00,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Papua,,,13,,,,,,,,,,,,
Out-of-school children of senior secondary age,4997048.00,2015,,SUSENAS,,All,All,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,2158892.00,2015,,SUSENAS,,All,Urban,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,2838156.00,2015,,SUSENAS,,All,Rural,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,1302969.00,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,1153816.00,2015,,SUSENAS,,All,All,All,Q2,All,All Indonesia,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,1056385.00,2015,,SUSENAS,,All,All,All,Q3,All,All Indonesia,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,894212.00,2015,,SUSENAS,,All,All,All,Q4,All,All Indonesia,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,589666.00,2015,,SUSENAS,,All,All,All,Q5 (wealthiest),All,All Indonesia,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,438502.00,2015,,SUSENAS,,All,All,All,All,No school,All Indonesia,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,1143154.00,2015,,SUSENAS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,1857954.00,2015,,SUSENAS,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,710509.00,2015,,SUSENAS,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,699075.00,2015,,SUSENAS,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,147854.00,2015,,SUSENAS,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,86096.00,2015,,SUSENAS,,All,All,All,All,All,Aceh,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,287318.00,2015,,SUSENAS,,All,All,All,All,All,Sumatera Utara,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,84568.00,2015,,SUSENAS,,All,All,All,All,All,Sumatera Barat,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,131675.00,2015,,SUSENAS,,All,All,All,All,All,Riau,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,73884.00,2015,,SUSENAS,,All,All,All,All,All,Jambi,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,183891.00,2015,,SUSENAS,,All,All,All,All,All,Sumatera Selatan,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,36349.00,2015,,SUSENAS,,All,All,All,All,All,Bengkulu,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,190816.00,2015,,SUSENAS,,All,All,All,All,All,Lampung,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,32156.00,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Bangka Belitung,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,28703.00,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,174634.00,2015,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,1028814.00,2015,,SUSENAS,,All,All,All,All,All,Jawa Barat,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,625608.00,2015,,SUSENAS,,All,All,All,All,All,Jawa Tengah,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,42139.00,2015,,SUSENAS,,All,All,All,All,All,DI Yogyakarta,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,640806.00,2015,,SUSENAS,,All,All,All,All,All,Jawa Timur,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,282236.00,2015,,SUSENAS,,All,All,All,All,All,Banten,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,55979.00,2015,,SUSENAS,,All,All,All,All,All,Bali,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,70427.00,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Barat,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,99706.00,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Timur,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,106254.00,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Barat,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,60202.00,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Tengah,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,82867.00,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Selatan,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,58596.00,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,11961.00,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,48472.00,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Utara,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,50602.00,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tengah,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,178666.00,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Selatan,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,51115.00,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tenggara,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,24453.00,2015,,SUSENAS,,All,All,All,All,All,Gorontalo,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,24043.00,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Barat,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,24185.00,2015,,SUSENAS,,All,All,All,All,All,Maluku,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,24029.00,2015,,SUSENAS,,All,All,All,All,All,Maluku Utara,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,15628.00,2015,,SUSENAS,,All,All,All,All,All,Papua Barat,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,80171.00,2015,,SUSENAS,,All,All,All,All,All,Papua,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,2347041.00,2015,,SUSENAS,,Female,All,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,2650008.00,2015,,SUSENAS,,Male,All,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),95.80,2015,,SUSENAS,,All,All,All,All,All,All Indonesia,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),97.10,2015,,SUSENAS,,All,Urban,All,All,All,All Indonesia,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),94.60,2015,,SUSENAS,,All,Rural,All,All,All,All Indonesia,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),93.20,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),95.50,2015,,SUSENAS,,All,All,All,Q2,All,All Indonesia,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),96.40,2015,,SUSENAS,,All,All,All,Q3,All,All Indonesia,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),97.10,2015,,SUSENAS,,All,All,All,Q4,All,All Indonesia,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),98.00,2015,,SUSENAS,,All,All,All,Q5 (wealthiest),All,All Indonesia,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),83.90,2015,,SUSENAS,,All,All,All,All,No school,All Indonesia,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),94.30,2015,,SUSENAS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),95.80,2015,,SUSENAS,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),96.10,2015,,SUSENAS,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),97.20,2015,,SUSENAS,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),98.20,2015,,SUSENAS,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),98.70,2015,,SUSENAS,,All,All,All,All,All,Aceh,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),95.70,2015,,SUSENAS,,All,All,All,All,All,Sumatera Utara,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),94.50,2015,,SUSENAS,,All,All,All,All,All,Sumatera Barat,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),95.10,2015,,SUSENAS,,All,All,All,All,All,Riau,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),96.50,2015,,SUSENAS,,All,All,All,All,All,Jambi,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),97.40,2015,,SUSENAS,,All,All,All,All,All,Sumatera Selatan,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),95.50,2015,,SUSENAS,,All,All,All,All,All,Bengkulu,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),97.60,2015,,SUSENAS,,All,All,All,All,All,Lampung,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),95.30,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Bangka Belitung,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),94.70,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),97.30,2015,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),96.70,2015,,SUSENAS,,All,All,All,All,All,Jawa Barat,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),97.90,2015,,SUSENAS,,All,All,All,All,All,Jawa Tengah,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),98.40,2015,,SUSENAS,,All,All,All,All,All,DI Yogyakarta,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),97.10,2015,,SUSENAS,,All,All,All,All,All,Jawa Timur,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),95.20,2015,,SUSENAS,,All,All,All,All,All,Banten,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),96.70,2015,,SUSENAS,,All,All,All,All,All,Bali,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),97.10,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Barat,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),92.50,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Timur,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),90.90,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Barat,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),96.80,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Tengah,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),97.00,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Selatan,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),97.80,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),94.70,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),99.20,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Utara,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),93.10,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tengah,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),96.80,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Selatan,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),96.50,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tenggara,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),96.20,2015,,SUSENAS,,All,All,All,All,All,Gorontalo,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),90.80,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Barat,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),95.20,2015,,SUSENAS,,All,All,All,All,All,Maluku,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),94.40,2015,,SUSENAS,,All,All,All,All,All,Maluku Utara,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),85.50,2015,,SUSENAS,,All,All,All,All,All,Papua Barat,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),60.30,2015,,SUSENAS,,All,All,All,All,All,Papua,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),96.40,2015,,SUSENAS,,Female,All,All,All,All,All Indonesia,,6 yrs,4,,,,,,,,,,,,
Participation rate in organized learning (children aged 6 years old at start of school year),95.40,2015,,SUSENAS,,Male,All,All,All,All,All Indonesia,,6 yrs,4,,,,,,,,,,,,
Percentage of 15-year old students achieving at least a minimum proficiency in mathematics,31.30,2015,,PISA,,All,All,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Percentage of 15-year old students achieving at least a minimum proficiency in mathematics,32.30,2015,,PISA,,Female,All,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Percentage of 15-year old students achieving at least a minimum proficiency in mathematics,30.40,2015,,PISA,,Male,All,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
