Indicator,Value,Year,Month,Source,Reference,Gender (All/Male/Female),Geography (All/Urban/Rural),Disability (All/With/Without),Wealth Quintile (All/Poorest/Second/Middle/Fourth/Richest),Educational attainment of household head,Province,District,"Age Range (i.e. 0-24 M, 15-60 Y)",SDG Goal,SDG Target,SDG National Indicator,CPAP 2016-2020 Outcome,CPAP 2016-2020 Output,Relevant SMQ No.,Keyword Tag 1,Keyword Tag 2,Keyword Tag 3,Keyword Tag 4,Keyword Tag 5,Prefered,To correct
Proportion of children deprived in 2 or more non-income dimensions of poverty,49.7,2016,,SUSENAS,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,54.7,2016,,SUSENAS,,All,All,All,All,All,Aceh,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,71.9,2016,,SUSENAS,,All,All,All,All,All,Sumatera Utara,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,71,2016,,SUSENAS,,All,All,All,All,All,Sumatera Barat,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,62.6,2016,,SUSENAS,,All,All,All,All,All,Riau,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,69.4,2016,,SUSENAS,,All,All,All,All,All,Jambi,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,51.2,2016,,SUSENAS,,All,All,All,All,All,Sumatera Selatan,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,74.8,2016,,SUSENAS,,All,All,All,All,All,Bengkulu,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,73.2,2016,,SUSENAS,,All,All,All,All,All,Lampung,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,43.1,2016,,SUSENAS,,All,All,All,All,All,Kepulauan Bangka Belitung,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,41.1,2016,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,55.2,2016,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,67.7,2016,,SUSENAS,,All,All,All,All,All,Jawa Barat,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,63.5,2016,,SUSENAS,,All,All,All,All,All,Jawa Tengah,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,47.2,2016,,SUSENAS,,All,All,All,All,All,DI Yogyakarta,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,65,2016,,SUSENAS,,All,All,All,All,All,Jawa Timur,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,65,2016,,SUSENAS,,All,All,All,All,All,Banten,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,43.4,2016,,SUSENAS,,All,All,All,All,All,Bali,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,64.5,2016,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Barat,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,87.5,2016,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Timur,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,72.3,2016,,SUSENAS,,All,All,All,All,All,Kalimantan Barat,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,69.5,2016,,SUSENAS,,All,All,All,All,All,Kalimantan Tengah,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,57.3,2016,,SUSENAS,,All,All,All,All,All,Kalimantan Selatan,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,44.1,2016,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,59,2016,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,68.4,2016,,SUSENAS,,All,All,All,All,All,Sulawesi Utara,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,75.2,2016,,SUSENAS,,All,All,All,All,All,Sulawesi Tengah,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,54.6,2016,,SUSENAS,,All,All,All,All,All,Sulawesi Selatan,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,61.6,2016,,SUSENAS,,All,All,All,All,All,Sulawesi Tenggara,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,65.9,2016,,SUSENAS,,All,All,All,All,All,Gorontalo,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,61.1,2016,,SUSENAS,,All,All,All,All,All,Sulawesi Barat,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,75.5,2016,,SUSENAS,,All,All,All,All,All,Maluku,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,79.8,2016,,SUSENAS,,All,All,All,All,All,Maluku Utara,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,74.7,2016,,SUSENAS,,All,All,All,All,All,Papua Barat,,18+ yrs,1,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,87.6,2016,,SUSENAS,,All,All,All,All,All,Papua,,18+ yrs,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (individuals),7133466,2015,,TNP2K,,All,All,All,All,All,All Indonesia,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),3510054,2015,,TNP2K,,All,All,All,All,All,All Indonesia,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),94949,2015,,TNP2K,,All,All,All,All,All,Aceh,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),215681,2015,,TNP2K,,All,All,All,All,All,Sumatera Utara,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),55181,2015,,TNP2K,,All,All,All,All,All,Sumatera Barat,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),41883,2015,,TNP2K,,All,All,All,All,All,Riau,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),30098,2015,,TNP2K,,All,All,All,All,All,Jambi,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),108860,2015,,TNP2K,,All,All,All,All,All,Sumatera Selatan,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),30595,2015,,TNP2K,,All,All,All,All,All,Bengkulu,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),147115,2015,,TNP2K,,All,All,All,All,All,Lampung,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),6259,2015,,TNP2K,,All,All,All,All,All,Kepulauan Bangka Belitung,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),7796,2015,,TNP2K,,All,All,All,All,All,Kepulauan Riau,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),21990,2015,,TNP2K,,All,All,All,All,All,DKI Jakarta,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),599696,2015,,TNP2K,,All,All,All,All,All,Jawa Barat,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),642734,2015,,TNP2K,,All,All,All,All,All,Jawa Tengah,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),28311,2015,,TNP2K,,All,All,All,All,All,DI Yogyakarta,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),604295,2015,,TNP2K,,All,All,All,All,All,Jawa Timur,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),120967,2015,,TNP2K,,All,All,All,All,All,Banten,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),22944,2015,,TNP2K,,All,All,All,All,All,Bali,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),114091,2015,,TNP2K,,All,All,All,All,All,Nusa Tenggara Barat,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),152234,2015,,TNP2K,,All,All,All,All,All,Nusa Tenggara Timur,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),46780,2015,,TNP2K,,All,All,All,All,All,Kalimantan Barat,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),15456,2015,,TNP2K,,All,All,All,All,All,Kalimantan Tengah,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),27564,2015,,TNP2K,,All,All,All,All,All,Kalimantan Selatan,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),21076,2015,,TNP2K,,All,All,All,All,All,Kalimantan Timur,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),4998,2015,,TNP2K,,All,All,All,All,All,Kalimantan Utara,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),31556,2015,,TNP2K,,All,All,All,All,All,Sulawesi Utara,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),49124,2015,,TNP2K,,All,All,All,All,All,Sulawesi Tengah,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),100473,2015,,TNP2K,,All,All,All,All,All,Sulawesi Selatan,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),39631,2015,,TNP2K,,All,All,All,All,All,Sulawesi Tenggara,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),27625,2015,,TNP2K,,All,All,All,All,All,Gorontalo,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),24016,2015,,TNP2K,,All,All,All,All,All,Sulawesi Barat,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),35226,2015,,TNP2K,,All,All,All,All,All,Maluku,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),15767,2015,,TNP2K,,All,All,All,All,All,Maluku Utara,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),13851,2015,,TNP2K,,All,All,All,All,All,Papua Barat,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Keluarga Harapan (PKH) (households),11232,2015,,TNP2K,,All,All,All,All,All,Papua,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),20311253,2015,,TNP2K,,All,All,All,All,All,All Indonesia,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),642085,2015,,TNP2K,,All,All,All,All,All,Aceh,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),1441637,2015,,TNP2K,,All,All,All,All,All,Sumatera Utara,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),501650,2015,,TNP2K,,All,All,All,All,All,Sumatera Barat,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),386258,2015,,TNP2K,,All,All,All,All,All,Riau,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),217687,2015,,TNP2K,,All,All,All,All,All,Jambi,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),669015,2015,,TNP2K,,All,All,All,All,All,Sumatera Selatan,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),171721,2015,,TNP2K,,All,All,All,All,All,Bengkulu,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),756253,2015,,TNP2K,,All,All,All,All,All,Lampung,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),50617,2015,,TNP2K,,All,All,All,All,All,Kepulauan Bangka Belitung,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),102311,2015,,TNP2K,,All,All,All,All,All,Kepulauan Riau,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),349018,2015,,TNP2K,,All,All,All,All,All,DKI Jakarta,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),3314139,2015,,TNP2K,,All,All,All,All,All,Jawa Barat,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),2556697,2015,,TNP2K,,All,All,All,All,All,Jawa Tengah,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),235969,2015,,TNP2K,,All,All,All,All,All,DI Yogyakarta,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),2545116,2015,,TNP2K,,All,All,All,All,All,Jawa Timur,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),774876,2015,,TNP2K,,All,All,All,All,All,Banten,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),191634,2015,,TNP2K,,All,All,All,All,All,Bali,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),654095,2015,,TNP2K,,All,All,All,All,All,Nusa Tenggara Barat,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),959011,2015,,TNP2K,,All,All,All,All,All,Nusa Tenggara Timur,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),363739,2015,,TNP2K,,All,All,All,All,All,Kalimantan Barat,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),118846,2015,,TNP2K,,All,All,All,All,All,Kalimantan Tengah,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),187439,2015,,TNP2K,,All,All,All,All,All,Kalimantan Selatan,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),168921,2015,,TNP2K,,All,All,All,All,All,Kalimantan Timur,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),45345,2015,,TNP2K,,All,All,All,All,All,Kalimantan Utara,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),226715,2015,,TNP2K,,All,All,All,All,All,Sulawesi Utara,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),331928,2015,,TNP2K,,All,All,All,All,All,Sulawesi Tengah,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),682140,2015,,TNP2K,,All,All,All,All,All,Sulawesi Selatan,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),281722,2015,,TNP2K,,All,All,All,All,All,Sulawesi Tenggara,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),138330,2015,,TNP2K,,All,All,All,All,All,Gorontalo,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),148831,2015,,TNP2K,,All,All,All,All,All,Sulawesi Barat,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),264695,2015,,TNP2K,,All,All,All,All,All,Maluku,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),109447,2015,,TNP2K,,All,All,All,All,All,Maluku Utara,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),143919,2015,,TNP2K,,All,All,All,All,All,Papua Barat,,All,1,,,,,,,,,,,,
Number of Beneficiaries of Program Indonesia Pintar (PIP) (Individuals),579447,2015,,TNP2K,,All,All,All,All,All,Papua,,All,1,,,,,,,,,,,,
Prevalence of low birth weight,13,2015,,SUSENAS,,All,All,All,All,All,All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,12.1,2015,,SUSENAS,,All,Urban,All,All,All,All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,14,2015,,SUSENAS,,All,Rural,All,All,All,All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,13.4,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,13.6,2015,,SUSENAS,,All,All,All,Q2,All,All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,13.1,2015,,SUSENAS,,All,All,All,Q3,All,All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,12,2015,,SUSENAS,,All,All,All,Q4,All,All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,12.8,2015,,SUSENAS,,All,All,All,Q5 (wealthiest),All,All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,15.6,2015,,SUSENAS,,All,All,All,All,No school,All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,13.8,2015,,SUSENAS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,14.1,2015,,SUSENAS,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,12.1,2015,,SUSENAS,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,12,2015,,SUSENAS,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,12.2,2015,,SUSENAS,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,15.9,2015,,SUSENAS,,All,All,All,All,All,Aceh,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,11.1,2015,,SUSENAS,,All,All,All,All,All,Sumatera Utara,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,11.9,2015,,SUSENAS,,All,All,All,All,All,Sumatera Barat,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,12.7,2015,,SUSENAS,,All,All,All,All,All,Riau,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,11.4,2015,,SUSENAS,,All,All,All,All,All,Jambi,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,13.7,2015,,SUSENAS,,All,All,All,All,All,Sumatera Selatan,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,9.7,2015,,SUSENAS,,All,All,All,All,All,Bengkulu,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,11.3,2015,,SUSENAS,,All,All,All,All,All,Lampung,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,14.4,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Bangka Belitung,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,8.4,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,14.1,2015,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,12.6,2015,,SUSENAS,,All,All,All,All,All,Jawa Barat,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,10.4,2015,,SUSENAS,,All,All,All,All,All,Jawa Tengah,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,8.9,2015,,SUSENAS,,All,All,All,All,All,DI Yogyakarta,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,11.3,2015,,SUSENAS,,All,All,All,All,All,Jawa Timur,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,15.6,2015,,SUSENAS,,All,All,All,All,All,Banten,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,9.1,2015,,SUSENAS,,All,All,All,All,All,Bali,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,14.1,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Barat,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,17.4,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Timur,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,19.8,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Barat,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,16.2,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Tengah,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,14.3,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Selatan,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,14.3,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,14.9,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,14.3,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Utara,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,16,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tengah,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,18.4,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Selatan,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,11.8,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tenggara,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,19.6,2015,,SUSENAS,,All,All,All,All,All,Gorontalo,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,18.2,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Barat,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,17.6,2015,,SUSENAS,,All,All,All,All,All,Maluku,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,19.8,2015,,SUSENAS,,All,All,All,All,All,Maluku Utara,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,20.3,2015,,SUSENAS,,All,All,All,All,All,Papua Barat,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of low birth weight,15.3,2015,,SUSENAS,,All,All,All,All,All,Papua,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,41.8,2015,,SUSENAS,,All,All,All,All,All,All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,45,2015,,SUSENAS,,All,Urban,All,All,All,All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,38.6,2015,,SUSENAS,,All,Rural,All,All,All,All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,42.4,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,41.2,2015,,SUSENAS,,All,All,All,Q2,All,All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,41.1,2015,,SUSENAS,,All,All,All,Q3,All,All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,42.8,2015,,SUSENAS,,All,All,All,Q4,All,All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,41.6,2015,,SUSENAS,,All,All,All,Q5 (wealthiest),All,All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,39.1,2015,,SUSENAS,,All,All,All,All,No school,All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,40.3,2015,,SUSENAS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,41.1,2015,,SUSENAS,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,41.1,2015,,SUSENAS,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,43.1,2015,,SUSENAS,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,45.3,2015,,SUSENAS,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,40.1,2015,,SUSENAS,,All,All,All,All,All,Aceh,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,26.3,2015,,SUSENAS,,All,All,All,All,All,Sumatera Utara,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,40,2015,,SUSENAS,,All,All,All,All,All,Sumatera Barat,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,31.8,2015,,SUSENAS,,All,All,All,All,All,Riau,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,34.3,2015,,SUSENAS,,All,All,All,All,All,Jambi,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,42,2015,,SUSENAS,,All,All,All,All,All,Sumatera Selatan,,15-49 yrs,2,,,,,,,,,,,,
